			photosynthetic 	n 	timing_of_stress	T_optimal	T_stress	Comments	Duration_Days	accumulated_heat_units		yield_control	sd_control		yield (heat)	sd_heat	rel_yield_heat	delT	yield_difference	SE_control	SE_stress	SE_max	yield_difference_weighted	relative_yield_weighted				
A	Impact on physiology and malting quality of barley exposed to heat, drought and their combination during different growth stages under controlled environment	Barley	C3	5		22	36		7	98		130,00	8,00		15,00	2,00	11,53846154	14	115	3,577708764	0,894427191	3,577708764	111,4222912	7,960752774				
A	Impact on physiology and malting quality of barley exposed to heat, drought and their combination during different growth stages under controlled environment	Barley	C3	5		22	36		7	98		100,00	4,00		14,00	2,00	14	14	86	1,788854382	0,894427191	1,788854382	84,21114562	12,21114562				
A	Impact on physiology and malting quality of barley exposed to heat, drought and their combination during different growth stages under controlled environment	Barley	C3	5		22	36		7	98		98,00	3,00		28,00	3,00	28,57142857	14	70	1,341640786	1,341640786	1,341640786	68,65835921	27,22978778				
A	Impact on physiology and malting quality of barley exposed to heat, drought and their combination during different growth stages under controlled environment	Barley	C3	5		22	36		7	98		130,00	5,00		10,00	1,00	7,692307692	14	120	2,236067977	0,447213595	2,236067977	117,763932	5,456239715				
B	Effects of Short Periods of Drought and High Temperature on Grain Growth and Starch Accumulation of Two Malting Barley Cultivars	Barley	C3	9		20	40		3	60		4,00	0,40		3,00	0,20	75	20	1	0,133333333	0,066666667	0,133333333	0,866666667	74,86666667				
B	Effects of Short Periods of Drought and High Temperature on Grain Growth and Starch Accumulation of Two Malting Barley Cultivars	Barley	C3	9		20	40		3	60		3,90	0,34		3,10	0,14	79,48717949	20	0,8	0,113333333	0,045	0,113333333	0,686666667	79,37384615				
B	Effects of Short Periods of Drought and High Temperature on Grain Growth and Starch Accumulation of Two Malting Barley Cultivars	Barley	C3	9		20	40		5	100		4,00	0,40		2,00	0,08	50	20	2	0,133333333	0,026666667	0,133333333	1,866666667	49,86666667				
B	Effects of Short Periods of Drought and High Temperature on Grain Growth and Starch Accumulation of Two Malting Barley Cultivars	Barley	C3	9		20	40		5	100		3,90	0,34		2,00	0,09	51,28205128	20	1,9	0,113333333	0,031333333	0,113333333	1,786666667	51,16871795				
C	Phenotypic, physiological and malt quality analyses of US barley varieties subjected to short periods of heat and drought stress	Barley	C3	5		22	36		6	84		105,00	7,00		55,00	5,00	52,38095238	14	50	3,130495168	2,236067977	3,130495168	46,86950483	49,25045721				
C	Phenotypic, physiological and malt quality analyses of US barley varieties subjected to short periods of heat and drought stress	Barley	C3	5		22	36		6	84		145,00	9,00		75,00	5,00	51,72413793	14	70	4,024922359	2,236067977	4,024922359	65,97507764	47,69921557				
C	Phenotypic, physiological and malt quality analyses of US barley varieties subjected to short periods of heat and drought stress	Barley	C3	5		22	36	there are more genotypes of barley but I think that’s sufficent	6	84		85,00	3,00		38,00	4,00	44,70588235	14	47	1,341640786	1,788854382	1,788854382	45,21114562	42,91702797				
D	Effects of Restricted Water Availability and Increased Temperature on the Grain Filling, Drying and Quality of Winter Wheat	wheat	C3	6		23	28		13	65		66,30	4,00		55,02	1,70	82,98642534	5	11,28	1,632993162	0,694022094	1,632993162	9,647006838	81,35343218				
D	Effects of drought and high temperature stress on synthetic hexaploid wheat	wheat	C3	6		21	36		16	240		6,10	0,10		4,00	0,05	65,57377049	15	2,1	0,040824829	0,020412415	0,040824829	2,059175171	65,53294566				
D	Effects of drought and high temperature stress on synthetic hexaploid wheat	wheat	C3	6		21	36		16	240		4,10	0,10		2,30	0,10	56,09756098	15	1,8	0,040824829	0,040824829	0,040824829	1,759175171	56,05673615				
D	Effects of drought and high temperature stress on synthetic hexaploid wheat	wheat	C3	6		21	36		16	240		3,50	0,10		1,70	0,10	48,57142857	15	1,8	0,040824829	0,040824829	0,040824829	1,759175171	48,53060374				
D	Effects of drought and high temperature stress on synthetic hexaploid wheat	wheat	C3	6		21	36		16	240		4,30	0,20		3,70	0,10	86,04651163	15	0,6	0,081649658	0,040824829	0,081649658	0,518350342	85,96486197				
D	Effects of drought and high temperature stress on synthetic hexaploid wheat	wheat	C3	6		21	36		16	240		7,50	0,20		4,20	0,20	56	15	3,3	0,081649658	0,081649658	0,081649658	3,218350342	55,91835034				
D	Effects of drought and high temperature stress on synthetic hexaploid wheat	wheat	C3	6		21	36		16	240		6,30	0,10		4,30	0,10	68,25396825	15	2	0,040824829	0,040824829	0,040824829	1,959175171	68,21314342				
E	Mode of high temperature injury to wheat during grain development	wheat	C3	5		25	30		25	125		2,00	0,23		1,40	0,12	70	5	0,6	0,102859127	0,055007272	0,102859127	0,497140873	69,89714087				
E	Mode of high temperature injury to wheat during grain development	wheat	C3	5		25	35		25	250		2,00	0,23		1,10	0,23	55	10	0,9	0,102859127	0,102859127	0,102859127	0,797140873	54,89714087				
