number	paper_code	name_of_publication	Link	family	crop_name	n 	timing_of_stress	T_optimal	T_stress	Comments	Duration_Days	accumulated_heat_units	yield_control	sd_control		yield_heat	sd_heat	rel_yield_heat	delT	yield_difference	SE_control	SE_stress	SE_max	yield_difference_weighted	relative_yield_weighted
1	H	Soybean Pollen Anatomy, Viability and Pod Set under High Temperature Stress			soybean	5		28	38	pod set	14	140	60	4		40	6	66,66666667	10	20	1,788854382	2,683281573	2,683281573	17,31671843	63,98338509
2	K	Impact of elevated temperatures on growth and yield of chickpea (Cicer arietinum L.) Kanchan			chickpea	5		24	30		88	528	14,4	1,2		12,4	0,6	86,11111111	6	2	0,536656315	0,268328157	0,536656315	1,463343685	85,5744548
3	K	Impact of elevated temperatures on growth and yield of chickpea (Cicer arietinum L.) Kanchan			chickpea	5		24	34		98	980	14,4	1,2		5,8	0,23	40,27777778	10	8,6	0,536656315	0,102859127	0,536656315	8,063343685	39,74112146
4	K	Impact of elevated temperatures on growth and yield of chickpea (Cicer arietinum L.) Kanchan			chickpea	5		24	38		85	1190	14,4	1,2		3,5	0,33	24,30555556	14	10,9	0,536656315	0,147580487	0,536656315	10,36334369	23,76889924
5	K	Effects of elevated temperature and carbon dioxide on seed-set and yield of kidney bean (Phaseolus vulgaris L.)			kidney bean	4		28	31		62	186	10,6	2	 	7	2	66,03773585	3	3,6	1	1	1	2,6	65,03773585
6	K	Effects of elevated temperature and carbon dioxide on seed-set and yield of kidney bean (Phaseolus vulgaris L.)			kidney bean	4		28	34		60	360	10,6	2		3,8	2,2	35,8490566	6	6,8	1	1,1	1,1	5,7	34,7490566
7	L	Impact of heat stress during seed filling on seed quality and seed yield in lentil (Lens culinaris Medikus) genotypes			lentill	5		28	33	tolerant 	22	110	3,52	0,22		1,32	0,18	37,5	5	2,2	0,098386991	0,080498447	0,098386991	2,101613009	37,40161301
8	L	Impact of heat stress during seed filling on seed quality and seed yield in lentil (Lens culinaris Medikus) genotypes			lentill	5		28	33	sensative	22	110	3,29	0,16		0,98	0,14	29,78723404	5	2,31	0,071554175	0,062609903	0,071554175	2,238445825	29,71567987
9	M	Effect of varying high temperatures during reproductive growth on reproductive function, oxidative stress and seed yield in chickpea genotypes differing in heat sensitivity			chickpea	3		35	40		11	55	6,76	1,3		6,23	0,18	92,15976331	5	0,53	0,75055535	0,103923048	0,75055535	-0,22055535	91,40920796
10	M	Effect of varying high temperatures during reproductive growth on reproductive function, oxidative stress and seed yield in chickpea genotypes differing in heat sensitivity			chickpea	3		35	40		11	55	6,96	1,1		6,34	0,21	91,09195402	5	0,62	0,635085296	0,121243557	0,635085296	-0,015085296	90,45686873
11	M	Effect of varying high temperatures during reproductive growth on reproductive function, oxidative stress and seed yield in chickpea genotypes differing in heat sensitivity			chickpea	3		35	40		11	55	7,11	1,6		5,86	0,16	82,41912799	5	1,25	0,923760431	0,092376043	0,923760431	0,326239569	81,49536756
12	M	Effect of varying high temperatures during reproductive growth on reproductive function, oxidative stress and seed yield in chickpea genotypes differing in heat sensitivity			chickpea	3		35	40		11	55	6,56	1,4		5,72	0,2	87,19512195	5	0,84	0,808290377	0,115470054	0,808290377	0,031709623	86,38683157
13	N	Response of Chickpea Yield to High Temperature Stress during Reproductive Development			chickpea	10		28	35		10	70	36,5	3,4		23,1	2,4	63,28767123	7	13,4	1,075174404	0,758946638	1,075174404	12,3248256	62,21249683
14	N	Response of Chickpea Yield to High Temperature Stress during Reproductive Development			chickpea	10		28	35		10	70	20,5	2		16,2	1,2	79,02439024	7	4,3	0,632455532	0,379473319	0,632455532	3,667544468	78,39193471
15	N	Response of Chickpea Yield to High Temperature Stress during Reproductive Development			chickpea	10		24	35		10	110	19,4	1,6		15,8	1,2	81,44329897	11	3,6	0,505964426	0,379473319	0,505964426	3,094035574	80,93733454
16	N	Response of Chickpea Yield to High Temperature Stress during Reproductive Development			chickpea	10		28	35		10	70	18,6	1,4		15,2	1,2	81,72043011	7	3,4	0,442718872	0,379473319	0,442718872	2,957281128	81,27771124
17	N	Response of Chickpea Yield to High Temperature Stress during Reproductive Development			chickpea	10		24	35		10	110	18,6	0,7		14,8	1,1	79,56989247	11	3,8	0,221359436	0,347850543	0,347850543	3,452149457	79,22204193
18	O	Sensitivity of Peanut to Timing of Heat Stress during Reproductive Development			peanut	10		28	38		45	450	60	4		33	3,3	55	10	27	1,264911064	1,043551628	1,264911064	25,73508894	53,73508894
20	P	Genotypic variation in response to high temperature at flowering in common bean (Phaseolus vulgaris L.)			Common bean	12		24	34	T2	8	80	33,1	3		8,1	1	24,47129909	10	25	0,866025404	0,288675135	0,866025404	24,1339746	23,60527369
22	Q	Effect of high temperature on the reproductive development of chickpea genotypes under controlled environments			chickpea	6		27	35	ICCV 92944	12	96	35	4		15	2,3	42,85714286	8	20	1,632993162	0,938971068	1,632993162	18,36700684	41,2241497
23	Q	Effect of high temperature on the reproductive development of chickpea genotypes under controlled environments			chickpea	6		27	35	ICC 5912	12	96	39	3,7		11	2,4	28,20512821	8	28	1,510518675	0,979795897	1,510518675	26,48948133	26,69460953
24		Responses of mungbean (Vigna radiata L.) genotypes to heat stress: Effects on reproductive biology, leaf function and yield traits			mungbean	5		30	40	sml 832	20	200	14,2	2		12,2	2,3	85,91549296	10	2	0,894427191	1,02859127	1,02859127	0,97140873	84,88690169
25		Responses of mungbean (Vigna radiata L.) genotypes to heat stress: Effects on reproductive biology, leaf function and yield traits			mungbean	5		30	40	sml 668	20	200	14,6	2,1		12,1	2,4	82,87671233	10	2,5	0,939148551	1,073312629	1,073312629	1,426687371	81,8033997
26		Differential Response of Common Bean Genotypes to High Temperature			commonbean	24		24	33	T3	35	315	6,62	0,2		2,49	0,1	37,61329305	9	4,13	0,040824829	0,020412415	0,040824829	4,089175171	37,57246822
27		REPRODUCTIVE RESPONSES OF COWPEA (VIGNA UNGUICULATA (L.) Walp.) TO HEAT STRESS. I. RESPONSES TO SOIL AND DAY AIR TEMPATURES			Cowpea	8		27	33		2	12	22	1		17	1,3	77,27272727	6	5	0,353553391	0,459619408	0,459619408	4,540380592	76,81310786
28		Reproductive development response to high daytime temperature in field pea			pea	6		24	35		14	154	20	2		12,1	1,2	60,5	11	7,9	0,816496581	0,489897949	0,816496581	7,083503419	59,68350342
29		Differential sensitivity to high temperature of stages in the reproductive development of common bean			commonbean	5		22	33		5	55	3,8	0,4		2,2	0,134	57,89473684	11	1,6	0,178885438	0,059926622	0,178885438	1,421114562	57,7158514
30		Effect of a Heat Wave on Lentil Grown under Free-Air CO2 Enrichment (FACE) in a Semi-Arid Environment			Lentill	5		24,1	30,6		3	19,5	3261	249		2219	206	68,04661147	6,5	1042	111,3561853	92,12600067	111,3561853	930,6438147	-43,30957381
31		Effects of elevated CO2 , drought and temperature on the water relations and gas exchange of groundnut (Arachis hypogaea) stands grown in controlled environment glasshouses			peanut	5		28	32		60	240	2,93	0,2		1,28	0,12	43,68600683	4	1,65	0,089442719	0,053665631	0,089442719	1,560557281	43,59656411
32		Susceptibility of Faba Bean (Vicia faba L.) to Heat Stress During Floral Development and Anthesis			faba beans	20		22	30		5	40	15	1,2		12	1,3	80	8	3	0,268328157	0,290688837	0,290688837	2,709311163	79,70931116
33		Susceptibility of Faba Bean (Vicia faba L.) to Heat Stress During Floral Development and Anthesis			faba beans	20		22	34		5	60	15	1,1		10	0,7	66,66666667	12	5	0,245967478	0,156524758	0,245967478	4,754032522	66,42069919
34		Insect pollination reduces yield loss following heat stress in faba bean (Vicia faba L.)			faba beans	6		18	30		5	60	51,9	5,2		43,7	4,8	84,20038536	12	8,2	2,12289111	1,959591794	2,12289111	6,07710889	82,07749425
35		Insect pollination reduces yield loss following heat stress in faba bean (Vicia faba L.)			faba beans	6		18	34		5	80	51,9	5,2		32,8	5,2	63,19845857	16	19,1	2,12289111	2,12289111	2,12289111	16,97710889	61,07556746
36		Heat tolerance in cowpea: effect of timing and duration of heat stress			cowpea	6		27	36		20	180	24,5	2,3		13,7	1,56	55,91836735	9	10,8	0,938971068	0,636867333	0,938971068	9,861028932	54,97939628
37		my data			soybean	12		28	38		20	200	81,20	7,13		39,09	10,09	48,14151366	10	42,10909091	2,056966483	2,91245728	2,91245728	39,19663363	45,22905638
38		my data			soybean	12		28	38		20	200	89,27	13,06		60,18	10,51	67,41344196	10	29,09090909	3,770700441	3,035397233	3,770700441	25,32020865	63,64274151
