crop_name,n,T_optimal,T_stress,Duration_of_the_stress,accumulated_heat_units,yield_control,sd_control,yield_heat,sd_heat,relative_yield_at_heat
Barley,5,22,36,7,98,130.00,8.00,15.00,2.00,11.53846154
Barley,5,22,36,7,98,100.00,4.00,14.00,2.00,14
Barley,5,22,36,7,98,98.00,3.00,28.00,3.00,28.57142857
Barley,5,22,36,7,98,130.00,5.00,10.00,1.00,7.692307692
Barley,9,20,40,3,60,4.00,0.40,3.00,0.20,75
Barley,9,20,40,3,60,3.90,0.34,3.10,0.14,79.48717949
Barley,9,20,40,5,100,4.00,0.40,2.00,0.08,50
Barley,9,20,40,5,100,3.90,0.34,2.00,0.09,51.28205128
Barley,5,22,36,6,84,105.00,7.00,55.00,5.00,52.38095238
Barley,5,22,36,6,84,145.00,9.00,75.00,5.00,51.72413793
Barley,5,22,36,6,84,85.00,3.00,38.00,4.00,44.70588235
wheat,6,23,28,13,65,66.30,4.00,55.02,1.70,82.98642534
wheat,6,21,36,16,240,6.10,0.10,4.00,0.05,65.57377049
wheat,6,21,36,16,240,4.10,0.10,2.30,0.10,56.09756098
wheat,6,21,36,16,240,3.50,0.10,1.70,0.10,48.57142857
wheat,6,21,36,16,240,4.30,0.20,3.70,0.10,86.04651163
wheat,6,21,36,16,240,7.50,0.20,4.20,0.20,56
wheat,6,21,36,16,240,6.30,0.10,4.30,0.10,68.25396825
wheat,5,25,30,25,125,2.00,0.23,1.40,0.12,70
wheat,5,25,35,25,250,2.00,0.23,1.10,0.23,55
wheat,12,25,38,3,39,1.19,0.04,0.93,0.03,78.1512605
wheat,12,25,38,3,39,0.78,0.06,0.58,0.04,74.35897436
wheat,5,25,35,3,30,4330,37.7,3835,40.4,88.56812933
wheat,5,22,35,15,195,2.9,0.13,2.175,0.1223,75
wheat,5,22,35,15,195,2.88,0.4,1.1232,0.23,39
wheat,5,22,35,15,195,2.69,0.212,2.0982,0.122,78
wheat,6,22,35,1,13,363.8,23,295.5,12,81.22594832
wheat,6,22,35,1,13,391.4,31,290.5,22,74.22074604
wheat,6,22,35,1,13,377.3,26,263.3,16,69.78531672
wheat,6,22,35,1,13,309,21,241.4,12,78.12297735
wheat,6,22,40,5,90,17.5,0.5,9.6,0.13,54.85714286
wheat,5,20,35,5,75,100,12,55,10,55
rice,5,32,38,14,84,34.8,3,26.5,1.68,76.14942529
rice,5,32,38,14,84,37.8,2.2,20.5,1.7,54.23280423
rice,5,32,38,14,84,44.8,2.45,27.5,1.23,61.38392857
rice,5,32,38,14,84,16.5,1.2,6.8,0.4,41.21212121
wheat,6,21,36,16,240,4,0.033,1.3,0.02,32.5
wheat,6,21,36,16,240,8.7,0.03,2,0.03,22.98850575
wheat,6,21,36,16,240,6.1,0.06,1.9,0.054,31.14754098
wheat,5,22,40,5,90,15.1,0.2,4.6,0.23,30.46357616
wheat,5,25,35,10,100,13.6,1,6.6,1,48.52941176
wheat,5,25,35,10,100,10,0.1,6.3,0.2,63
wheat,5,25,35,10,100,9.6,0.7,6,0.3,62.5
wheat,5,25,35,10,100,9.6,1,5.2,0.6,54.16666667
wheat,5,25,35,10,100,12.3,0.5,9.3,0.9,75.6097561
wheat,5,25,35,10,100,9.2,1,8.7,1,94.56521739
wheat,5,25,35,10,100,9.4,0.7,4.7,1,50
wheat,11,23,40,7,119,1.95,0.24,0.56,0.05,28.71794872
wheat,6,24,31,16,112,4.4,0.23,2.69,0.3,61.13636364
wheat,6,24,34,16,160,4.1,0.56,1.3,0.124,31.70731707
wheat,6,22,38,3,48,"1,066",34,848,23,79.54971857
wheat,6,22,38,3,48,"1,097",56,857,45,78.12215132
wheat,5,24,35,5,55,3.4,0.2,2.1,0.4,61.76470588
wheat,5,24,28,5,20,724.8,23,582.4,44,80.35320088
wheat,5,24,28,5,20,652.2,56,481.2,32,73.78104876
rice,4,32,38,15,90,1.5,0.2,0.4,0.02,26.66666667
rice,4,32,38,15,90,3,0.6,1.7,0.2,56.66666667
rice,4,32,38,15,90,2.3,0.12,1.4,0.2,60.86956522
rice,5,28,35,10,70,60,4,26,2.3,43.33333333
rice,5,28,35,10,70,70,4,29,3.2,41.42857143
rice,5,28,35,10,70,58,2,16,2,27.5862069
rice,5,28,35,10,70,62,5,25,6,40.32258065
Barley,5,22,36,7,98,108,10,55,5,50.92592593
Barley,5,22,36,7,98,132,5,70,4,53.03030303
Barley,5,22,36,7,98,100,8,35,4,35
Barley,5,22,36,7,98,118,7,47,6,39.83050847
Barley,12,22,33,10,110,7.16,0.51,4.06,0.51,56.70391061
wheat,5,22,37,1,15,108,8,95,5.4,87.96296296
wheat,5,22,37,3,45,101,10,76,6.4,75.24752475
wheat,5,22,37,5,75,125,12,67,4.6,53.6
wheat,5,22,42,1,20,108,7,91,4,84.25925926
wheat,5,22,42,3,60,101,10,59,3,58.41584158
wheat,5,22,42,5,100,125,11,55,4,44
wheat,5,22.5,25,5,12.5,1.6,0.1,1.1,0.04,68.75
wheat,5,22.5,27,5,22.5,1.6,0.1,0.4,0.1,25
wheat,6,24,34,10,100,100,4,70,3.6,70
rice,5,30,40,7,70,85,3,50,4,58.82352941
wheat,6,24,34,10,100,8.2,0.4,3.8,0.3,46.34146341
rice,5,29,32,5,15,2.27,0.15,1.88,0.23,82.81938326
rice,5,29,35,5,30,2.27,0.15,1.87,0.21,82.37885463
rice,5,29,38,5,45,2.27,0.15,1.77,0.18,77.97356828
rice,5,29,41,5,60,2.27,0.15,1.6,0.13,70.4845815
wheat,6,22,37,1,15,10,1,7,0.15,70
wheat,6,22,37,1,15,9,0.7,4.6,0.6,51.11111111
wheat,6,22,37,1,15,7.5,0.5,5,0.6,66.66666667
wheat,6,22,37,1,15,6.5,0.187,4.2,0.3,64.61538462
wheat,6,22,37,1,15,7,0.6,4.7,0.56,67.14285714
wheat,6,22,37,1,15,9,0.4,7.1,0.4,78.88888889
wheat,6,22,37,1,15,9,0.6,5.4,0.2,60
wheat,6,22,37,1,15,7.8,0.4,5.5,0.1,70.51282051
wheat,6,22,37,1,15,9.1,0.23,5.9,0.3,64.83516484
wheat,6,22,37,1,15,8.2,0.2,5.2,0.2,63.41463415
rice,4,32,35,2,6,32.6,1.2,32.2,1.1,98.77300613
rice,4,32,38,2,12,32.6,1.2,29.9,0.7,91.71779141
rice,4,32,41,2,18,32.6,1.2,25.8,0.67,79.14110429
rice,4,32,35,4,12,32.6,1.2,31.8,0.55,97.54601227
rice,4,32,38,4,24,32.6,1.2,27.8,0.7,85.27607362
rice,4,32,41,4,36,32.6,1.2,20.1,0.35,61.65644172
rice,4,32,35,6,18,32.6,1.2,30.2,0.87,92.63803681
rice,4,32,38,6,36,32.6,1.2,23.4,0.35,71.7791411
rice,4,32,41,6,54,32.6,1.2,15.4,0.6,47.2392638
