crop_name,n,T_optimal,T_stress,Duration_of_the_stress,accumulated_heat_units,yield_control,sd_control,yield_heat,sd_heat,relative_yield_at_heat
soybean,5,28,38,14,140,60,4,40,6,66.66666667
chickpea,5,24,30,88,528,14.4,1.2,12.4,0.6,86.11111111
chickpea,5,24,34,98,980,14.4,1.2,5.8,0.23,40.27777778
chickpea,5,24,38,85,1190,14.4,1.2,3.5,0.33,24.30555556
kidney bean,4,28,31,62,186,10.6,2,7,2,66.03773585
kidney bean,4,28,34,60,360,10.6,2,3.8,2.2,35.8490566
lentill,5,28,33,22,110,3.52,0.22,1.32,0.18,37.5
lentill,5,28,33,22,110,3.29,0.16,0.98,0.14,29.78723404
chickpea,3,35,40,11,55,6.76,1.3,6.23,0.18,92.15976331
chickpea,3,35,40,11,55,6.96,1.1,6.34,0.21,91.09195402
chickpea,3,35,40,11,55,7.11,1.6,5.86,0.16,82.41912799
chickpea,3,35,40,11,55,6.56,1.4,5.72,0.2,87.19512195
chickpea,10,28,35,10,70,36.5,3.4,23.1,2.4,63.28767123
chickpea,10,28,35,10,70,20.5,2,16.2,1.2,79.02439024
chickpea,10,24,35,10,110,19.4,1.6,15.8,1.2,81.44329897
chickpea,10,28,35,10,70,18.6,1.4,15.2,1.2,81.72043011
chickpea,10,24,35,10,110,18.6,0.7,14.8,1.1,79.56989247
peanut,10,28,38,45,450,60,4,33,3.3,55
Common bean,12,24,34,8,80,33.1,3,8.1,1,24.47129909
chickpea,6,27,35,12,96,35,4,15,2.3,42.85714286
chickpea,6,27,35,12,96,39,3.7,11,2.4,28.20512821
mungbean,5,30,40,20,200,14.2,2,12.2,2.3,85.91549296
mungbean,5,30,40,20,200,14.6,2.1,12.1,2.4,82.87671233
commonbean,24,24,33,35,315,6.62,0.2,2.49,0.1,37.61329305
Cowpea,8,27,33,2,12,22,1,17,1.3,77.27272727
pea,6,24,35,14,154,20,2,12.1,1.2,60.5
commonbean,5,22,33,5,55,3.8,0.4,2.2,0.134,57.89473684
Lentill,5,24.1,30.6,3,19.5,3261,249,2219,206,68.04661147
peanut,5,28,32,60,240,2.93,0.2,1.28,0.12,43.68600683
faba beans,20,22,30,5,40,15,1.2,12,1.3,80
faba beans,20,22,34,5,60,15,1.1,10,0.7,66.66666667
faba beans,6,18,30,5,60,51.9,5.2,43.7,4.8,84.20038536
faba beans,6,18,34,5,80,51.9,5.2,32.8,5.2,63.19845857
cowpea,6,27,36,20,180,24.5,2.3,13.7,1.56,55.91836735
soybean,12,28,38,20,200,81.2,7.13,39.09,10.09,48.14151366
soybean,12,28,38,20,200,89.27,13.06,60.18,10.51,67.41344196
soybean,12,28,38,20,200,76.789474,6.7713617,37.15,3.1848944,48.37902653
soybean,12,28,38,20,200,78.5,5.9686682,50.235294,5.6552484,63.9940051
pea,6,25,31,6,36,41.5,3.9,25.3,5.7,60.96385542
bean,4,29,32,,0,,,,,#DIV/0!
peanut,4,28,34,6,36,27,2,24,3,88.88888889
peanut,4,28,42,6,84,27,2,21.5,2,79.62962963
pea,5,24,36,7,84,4.6,0.321,3.4,0.233,73.91304348
peanut,4,27,30,60,180,4.25,0.12,3.75,0.6,88.23529412
peanut,4,27,30,60,180,25.4,1.6,17.8,3.2,70.07874016
mungbeans,30,32.5,40,33,247.5,5.5,0.65,4.2,0.71,76.36363636
mungbeans,30,32.5,40,33,247.5,5.2,0.56,3.4,0.68,65.38461538
mungbeans,30,32.5,45,33,412.5,5.5,0.65,3.1,0.73,56.36363636
mungbeans,30,32.5,45,33,412.5,5.2,0.56,2,0.68,38.46153846
chickpea,5,30,35,30,150,5.98,0.76,5.76,0.74,96.32107023
chickpea,5,30,35,30,150,5.27,0.67,5.19,0.73,98.48197343
chickpea,5,30,35,30,150,5.13,0.73,4.98,0.65,97.07602339
chickpea,5,30,38,27,216,5.98,0.76,4.59,0.65,76.75585284
chickpea,5,30,38,27,216,5.27,0.67,4.23,0.55,80.26565465
chickpea,5,30,38,27,216,5.13,0.73,3.96,0.62,77.19298246
chickpea,5,30,40,25,250,5.98,0.76,3.09,0.32,51.6722408
chickpea,5,30,40,25,250,5.27,0.67,2.89,0.4,54.83870968
chickpea,5,30,40,25,250,5.13,0.73,2.84,0.33,55.36062378
lentill,5,30,35,30,150,2.19,0.72,1.98,0.64,90.4109589
lentill,5,30,35,30,150,2.28,0.64,1.87,0.43,82.01754386
lentill,5,30,38,27,216,2.19,0.72,1.06,0.31,48.40182648
lentill,5,30,38,27,216,2.28,0.64,1.02,0.62,44.73684211
soybean,6,25,35,14,140,2.93,0.6,2.08,0.5,70.98976109
soybean,6,25,35,14,140,2.5,0.43,1.82,0.34,72.8
soybean,6,25,35,14,140,2.89,0.23,1.87,0.5,64.70588235
soybean,8,25,33,90,720,80,5,60,5,75
soybean,8,25,33,90,720,65,2,28,3,43.07692308
soybean,6,30,42,10,120,120,5,95,7,79.16666667
pea,15,20,28,4,32,22.2,1,19.3,2.1,86.93693694
pea,15,20,28,4,32,24.7,1,23,1,93.11740891
lentill,5,28,33,waiting for an answer from the auther ,,3.97,0.24,3.41,0.24,85.89420655
lentill,5,28,33,waiting for an answer from the auther ,,3.97,0.24,2.96,0.21,74.55919395
soybean,8,28,36,60,480,28,2,17,1,60.71428571
pea,20,24,35,7,77,7.2,1,6.1,0.4,84.72222222
pea,6,20,30,7,70,3.18,0.46,1.47,0.18,46.22641509
chickpea,5,20,35,10,150,35,1,23.1,0.6,66
chickpea,5,20,35,10,150,20.4,2.2,16.2,1,79.41176471
chickpea,5,20,35,10,150,20.1,1.2,15.8,1.2,78.60696517
chickpea,5,20,35,10,150,19.5,1.2,15.2,2.1,77.94871795
chickpea,5,20,35,10,150,19.6,2.3,14.8,1.3,75.51020408
soybean,6,30,35,18,90,79,5,57,3,72.15189873
