"crop","t_op","t_stress","t_above_optimal","Photosynthesis.PS._at_control","sd_control","n_control","Photosynthesis.PS._at_stress","sd_stress","n_stress","relative_reduction_in_PS"
"cereals",23,"35","12","20","0,30",3,"16","0,4",3,"80"
"cereals",23,"35","12","22,4","0,50",3,"13,1","0,4",3,"58,48214286"
"cereals",22,"32","10","20,3","0,10",10,"16","0,4",10,"78,81773399"
"cereals",20,"40","20","15,1","0,20",20,"10","0,15",20,"66,22516556"
"cereals",22,"36","14","16","1,10",10,"12,5","1,2",10,"78,125"
"cereals",22,"36","14","18","0,50",10,"11","1,6",10,"61,11111111"
"cereals",28,"43","15","15","1,00",5,"6,1","1,1",5,"40,66666667"
"cereals",30,"37,5","7,5","20","2,00",4,"16","1",4,"80"
"cereals",30,"40","10","22","1,00",3,"15","2",3,"68,18181818"
"cereals",27,"45","18","26,6","1,00",4,"12,6","1,3",4,"47,36842105"
"cereals",27,"45","18","22,4","1,60",4,"13","0,6",4,"58,03571429"
"cereals",29,"32","3","20","1,50",4,"15","1",4,"75"
"cereals",29,"35","6","20","1,50",4,"11","1,1",4,"55"
"cereals",29,"38","9","20","1,50",4,"10","1,2",4,"50"
"cereals",29,"41","12","20","1,50",4,"9","0,7",4,"45"
"cereals",23,"35","12","25","2,00",4,"16,5","1,6",4,"66"
"cereals",23,"35","12","22,1","2,10",4,"17,5","1",4,"79,18552036"
"cereals",25,"38","13","17","1,00",4,"11,4","2",4,"67,05882353"
"cereals",25,"40","15","19,5","2,00",4,"9,7","1,5",4,"49,74358974"
"cereals",32,"38","6","19,2","2,10",3,"15,5","1,2",3,"80,72916667"
"cereals",25,"40","15","12,5","1,00",3,"4","0,6",3,"32"
"cereals",25,"40","15","12","1,10",3,"7,5","0,25",3,"62,5"
"legumes",28,"38","10","19,5","1",6,"10,5","0,6",6,"53,84615385"
"legumes",28,"38","10","20","1,2",6,"11","0,54",6,"55"
"legumes",28,"30","2","24,9","1,2",3,"24,2","1,3",3,"97,18875502"
"legumes",28,"34","6","24,9","1,2",3,"22,9","1,1",3,"91,96787149"
"legumes",28,"38","10","24,9","1,2",3,"19,9","0,8",3,"79,91967871"
"legumes",28,"42","14","24,9","1,2",3,"16","1",3,"64,25702811"
"legumes",25,"35","10","15","1,5",3,"11,5","1,6",3,"76,66666667"
"legumes",28,"40","12","22","1",3,"17","1",3,"77,27272727"
"legumes",32,"36","4","26","2",3,"22","1,5",3,"84,61538462"
"legumes",32,"40","8","26","2",3,"17","1",3,"65,38461538"
"legumes",28,"40","12","20","1",3,"12","1,1",3,"60"
"legumes",28,"36","8","20","1",3,"15","1,2",3,"75"
"legumes",24,"32","8","16,7","1,2",16,"12,024","1,2",16,"72"
"legumes",24,"32","8","19,6","2,1",16,"15,288","2,1",16,"78"
"legumes",24,"32","8","16","1,4",16,"12,8","1,4",16,"80"
"legumes",24,"32","8","15,3","0,8",16,"14,076","0,8",16,"92"
"legumes",24,"32","8","19,6","0,56",16,"15,288","0,56",16,"78"
"legumes",28,"33","5","21,3","1,6",5,"15,7","1,7",5,"81,33333333"
"legumes",28,"33","5","19,6","1,8",5,"10,3","1,7",5,"80,33333333"
"legumes",25,"35","10","20,5","1,2",5,"13,2","1,5",5,"79,33333333"
